date,region,subregion,cases,deaths
2020-03-22,North-East,BZ,57,3
2020-03-22,North-East,FVG,84,5
2020-03-22,North-East,EMR,850,101
2020-03-22,Centre,MAR,268,30
2020-03-22,Centre,TOS,265,19
2020-03-22,Centre,UMB,59,6
2020-03-22,Centre,LAZ,193,3
2020-03-22,South,ABR,58,11
2020-03-22,South,MOL,5,0
2020-03-22,South,CAM,92,7
2020-03-22,South,BAS,15,0
2020-03-22,South,PUG,111,2
2020-03-22,South,CAL,38,2
2020-03-22,Islands,SIC,140,2
2020-03-22,Islands,SAR,9,3
2020-03-23,North-West,VDA,29,3
2020-03-23,North-West,LIG,259,41
2020-03-23,North-West,PIE,441,32
2020-03-23,North-West,LOM,1555,320
2020-03-23,North-East,VEN,383,23
2020-03-23,North-East,TN,69,6
2020-03-23,North-East,BZ,46,6
2020-03-23,North-East,FVG,56,7
2020-03-23,North-East,EMR,980,76
2020-03-23,Centre,MAR,148,19
2020-03-23,Centre,TOS,184,18
2020-03-23,Centre,UMB,56,0
2020-03-23,Centre,LAZ,157,10
2020-03-23,South,ABR,76,5
2020-03-23,South,MOL,1,0
2020-03-23,South,CAM,90,20
2020-03-23,South,BAS,9,1
2020-03-23,South,PUG,120,6
2020-03-23,South,CAL,19,0
2020-03-23,Islands,SIC,91,5
2020-03-23,Islands,SAR,20,4
2020-03-24,North-West,VDA,7,7
2020-03-24,North-West,LIG,192,19
2020-03-24,North-West,PIE,654,59
2020-03-24,North-West,LOM,1942,402
2020-03-24,North-East,VEN,443,24
2020-03-24,North-East,TN,87,15
2020-03-24,North-East,BZ,57,9
2020-03-24,North-East,FVG,62,10
2020-03-24,North-East,EMR,719,93
2020-03-24,Centre,MAR,167,28
2020-03-24,Centre,TOS,238,20
2020-03-24,Centre,UMB,71,3
2020-03-24,Centre,LAZ,188,17
2020-03-24,South,ABR,26,8
2020-03-24,South,MOL,6,1
2020-03-24,South,CAM,75,7
2020-03-24,South,BAS,2,0
2020-03-24,South,PUG,99,7
2020-03-24,South,CAL,27,3
2020-03-24,Islands,SIC,125,7
2020-03-24,Islands,SAR,62,4
2020-03-25,North-West,VDA,1,5
2020-03-25,North-West,LIG,189,23
2020-03-25,North-West,PIE,509,75
2020-03-25,North-West,LOM,1643,296
2020-03-25,North-East,VEN,494,42
2020-03-25,North-East,TN,112,18
2020-03-25,North-East,BZ,77,5
2020-03-25,North-East,FVG,147,6
2020-03-25,North-East,EMR,800,92
2020-03-25,Centre,MAR,198,56
2020-03-25,Centre,TOS,273,13
2020-03-25,Centre,UMB,62,0
2020-03-25,Centre,LAZ,173,15
2020-03-25,South,ABR,124,6
2020-03-25,South,CAM,98,18
2020-03-25,South,BAS,21,0
2020-03-25,South,PUG,88,4
2020-03-25,South,CAL,32,1
2020-03-25,Islands,SIC,148,5
2020-03-25,Islands,SAR,21,3
2020-03-26,North-West,VDA,7,4
2020-03-26,North-West,LIG,262,26
2020-03-26,North-West,PIE,510,50
2020-03-26,North-West,LOM,2543,387
2020-03-26,North-East,VEN,493,29
2020-03-26,North-East,TN,75,12
2020-03-26,North-East,BZ,48,5
2020-03-26,North-East,FVG,84,2
2020-03-26,North-East,EMR,762,97
2020-03-26,Centre,MAR,180,23
2020-03-26,Centre,TOS,254,16
2020-03-26,Centre,UMB,92,1
2020-03-26,Centre,LAZ,195,11
2020-03-26,South,ABR,133,11
2020-03-26,South,MOL,30,0
2020-03-26,South,CAM,111,9
2020-03-26,South,BAS,21,0
2020-03-26,South,PUG,89,17
2020-03-26,South,CAL,42,3
2020-03-26,Islands,SIC,170,8
